SEGID,LANGPAIR,ANNOTYPE,NUMANNOT,ANNOTATOR_01,ANNOTATOR_02,ANNOTATOR_03,ANNOTATOR_04,ANNOTATOR_05,ANNOTATOR_06,ANNOTATOR_07,ANNOTATOR_08,ANNOTATOR_09,ANNOTATOR_10
33,fa-en,ad,7,-0.07532237735415602,0.09766220714183528,0.5542108809043079,0.688783174424422,nan,0.8917631908697994,0.7772019720748343,nan,0.39612609919203223,nan
34,fa-en,ad,7,-0.9881783540310076,-1.5078329784843458,0.39086991267478677,0.7785691890021369,nan,0.23131771403107507,-2.031860995836748,nan,-0.056912810985957366,nan
35,fa-en,ad,7,2.1653241108526617,0.9004097999549259,1.3164687326420734,0.8234621962909943,nan,1.1003249203978176,0.7387216574459086,nan,0.8995026660564651,nan
36,fa-en,ad,7,-0.36577655175133605,0.09766220714183528,0.39086991267478677,0.6438901671355646,nan,-0.7419703570996765,-1.108333444742529,nan,0.7484896959971352,nan
37,fa-en,ad,7,0.09065143658708973,0.7719701851048313,1.3164687326420734,0.8683552035798517,nan,1.1003249203978176,1.200485432993018,nan,0.1444378157598158,nan
38,fa-en,ad,7,-0.03382892386884458,0.8682998962424022,1.3164687326420734,0.7785691890021369,nan,1.1003249203978176,1.008083859848389,nan,0.24511312913270236,nan
39,fa-en,ad,7,-0.1583092843247789,0.5150909554046423,0.6086578703141483,-0.20907697135272632,nan,0.9960440556338085,-1.3776956471450097,nan,-0.4092764077910604,nan
40,fa-en,ad,7,2.1653241108526617,0.9004097999549259,1.3164687326420734,0.8234621962909943,nan,1.1003249203978176,1.1235248037351664,nan,0.547139069251362,nan
41,fa-en,ad,7,0.13214489007240116,-1.5078329784843458,-0.7525168649318615,-0.11929095677501148,nan,-1.4719364104477402,-0.3002468375350877,nan,-1.0636659447148231,nan
42,fa-en,ad,7,2.1653241108526617,0.8682998962424022,0.7175518491338292,0.9132482108687091,nan,1.1003249203978176,0.7772019720748343,nan,-0.006575154299514077,nan
43,fa-en,ad,7,-0.03382892386884458,-0.7693051930963025,-1.5692217060794675,-1.2416161389964468,nan,-1.50669669870241,-1.146813759371455,nan,-0.6609646912232768,nan
44,fa-en,ad,7,0.09065143658708973,0.09766220714183528,-0.8069638543417019,0.8234621962909943,nan,-1.50669669870241,0.7772019720748343,nan,-0.3086010944181738,nan
45,fa-en,ad,7,1.3354550411464328,0.9004097999549259,0.009740986805904005,0.8683552035798517,nan,1.1003249203978176,1.200485432993018,nan,0.7988273526835785,nan
46,fa-en,ad,7,0.46409251795489265,0.547200859117166,0.281975933855106,0.8234621962909943,nan,-0.04676459200628254,0.3539185111566507,nan,0.34578844250558893,nan
47,fa-en,ad,7,1.2939615876611215,0.8682998962424022,1.3164687326420734,0.8683552035798517,nan,1.0655646321431478,1.200485432993018,nan,1.251866262861568,nan
48,fa-en,ad,7,0.46409251795489265,0.09766220714183528,-0.6980698755220212,0.3745321234024201,nan,-0.7072100688450068,0.3539185111566507,nan,-0.10725046767240065,nan
49,fa-en,ad,7,0.7545466923520727,0.9004097999549259,1.3164687326420734,0.8683552035798517,nan,1.1003249203978176,0.5463200843012797,nan,0.4464637558784755,nan
