SEGID,LANGPAIR,ANNOTYPE,SCORETYPE,MEANSCORE,NUMANNOT,ANNOTATOR_1,ANNOTATOR_2,ANNOTATOR_3,ANNOTATOR_4,ANNOTATOR_5,ANNOTATOR_6,ANNOTATOR_7,ANNOTATOR_8
20,fa-en,bl,zscore,0.6654938541165227,5,nan,-0.1364610572061426,1.0744603067483034,0.716567838032028,0.9668252304735315,nan,0.706076952534893,nan
21,fa-en,bl,zscore,0.8216926004505108,5,nan,-0.09155730216212302,1.0744603067483034,1.5204406532524037,0.9668252304735315,nan,0.6382941139404388,nan
22,fa-en,bl,zscore,0.018803779184625967,5,nan,-0.09155730216212302,-0.21469993612717525,1.2692303984960362,0.9668252304735315,nan,-1.8357794947571395,nan
23,fa-en,bl,zscore,-0.5165442324471853,5,nan,-0.1364610572061426,-0.6981350272054797,-0.4892413847985357,-0.23649826140207905,nan,-1.0223854316236891,nan
24,fa-en,bl,zscore,-0.4144237200030905,5,nan,0.9861328188943472,-0.7384212847953384,0.5658416851782075,-0.23649826140207905,nan,-2.64917355789059,nan
25,fa-en,bl,zscore,0.19427645413547706,5,nan,1.031036573938367,-0.7384212847953384,0.2141473285192931,0.6058281829108484,nan,-0.14120852989578456,nan
26,fa-en,bl,zscore,0.9420085277993092,5,nan,2.0638229399508177,1.114746564338162,1.6209247551549506,0.9668252304735315,nan,-1.0562768509209164,nan
27,fa-en,bl,zscore,0.7465773253276695,5,nan,1.120844084026406,-0.6981350272054797,1.6711668061062241,0.9668252304735315,nan,0.6721855332376659,nan
28,fa-en,bl,zscore,-0.020363613130076945,5,nan,0.7616140436742493,-0.8592800575649145,-0.28827318099344174,0.42532965912950677,nan,-0.14120852989578456,nan
29,fa-en,bl,zscore,1.1389660104494883,5,nan,2.0638229399508177,1.0744603067483034,0.9175360418371219,0.9668252304735315,nan,0.6721855332376659,nan
30,fa-en,bl,zscore,0.7776076502197716,5,nan,1.031036573938367,0.9536015339787273,0.2643893794705666,0.9668252304735315,nan,0.6721855332376659,nan
31,fa-en,bl,zscore,0.6838099529902982,5,nan,-0.0017497920740838216,0.993887791568586,1.2692303984960362,0.4854958337232873,nan,0.6721855332376659,nan
32,fa-en,bl,zscore,-0.8289258387851561,5,nan,-0.40588358747026015,-1.181570118283784,-0.8409357414574501,0.9668252304735315,nan,-2.6830649771878172,nan
33,fa-en,bl,zscore,-0.0026873615911357117,5,nan,0.043153962969935775,0.10759012459169441,-0.0873049771883478,0.0643326115668236,nan,-0.14120852989578456,nan
34,fa-en,bl,zscore,-0.28322990144105564,5,nan,-0.1813648122501622,-1.1009976031040667,0.06342117566547266,-0.05599973762073746,nan,-0.14120852989578456,nan
35,fa-en,bl,zscore,1.1356958841186788,5,nan,2.0638229399508177,1.0744603067483034,0.8672939908858485,0.9668252304735315,nan,0.706076952534893,nan
36,fa-en,bl,zscore,0.5258583025920247,5,nan,-0.04665354711810342,0.8730290187990098,0.16390527756801962,0.9668252304735315,nan,0.6721855332376659,nan
37,fa-en,bl,zscore,0.9731188664693761,5,nan,1.2106515941144453,1.114746564338162,0.8672939908858485,0.9668252304735315,nan,0.706076952534893,nan
38,fa-en,bl,zscore,0.7747700029608182,5,nan,0.7616140436742493,1.0744603067483034,0.3648734813731136,0.9668252304735315,nan,0.706076952534893,nan
39,fa-en,bl,zscore,0.18499124404669595,5,nan,0.9412290638503277,0.10759012459169441,0.013179124714199169,0.00416643697304307,nan,-0.14120852989578456,nan
40,fa-en,bl,zscore,1.1088207798787242,5,nan,2.0638229399508177,1.0744603067483034,0.7668098889833015,0.9668252304735315,nan,0.6721855332376659,nan
41,fa-en,bl,zscore,0.9616304683269299,5,nan,0.9861328188943472,1.114746564338162,1.0682621946909423,0.9668252304735315,nan,0.6721855332376659,nan
