SEGID,LANGPAIR,ANNOTYPE,NUMANNOT,ANNOTATOR_01,ANNOTATOR_02,ANNOTATOR_03,ANNOTATOR_04,ANNOTATOR_05,ANNOTATOR_06,ANNOTATOR_07,ANNOTATOR_08,ANNOTATOR_09,ANNOTATOR_10,ANNOTATOR_11,ANNOTATOR_12,ANNOTATOR_13,ANNOTATOR_14,ANNOTATOR_15,ANNOTATOR_16,ANNOTATOR_17,ANNOTATOR_18,ANNOTATOR_19,ANNOTATOR_20,ANNOTATOR_21,ANNOTATOR_22,ANNOTATOR_23,ANNOTATOR_24,ANNOTATOR_25,ANNOTATOR_26
11,ko-en,ad,10,-0.7559853615978563,0.4692567086066595,0.2920549764692749,1.0746795143054095,0.021661083741052998,-0.32245022542188434,nan,0.6105030829984472,nan,0.9442378893154683,nan,-0.20957137529770137,1.1263490927521136,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
12,ko-en,ad,10,0.4408276648007415,0.8293387463120805,0.4628621884374933,1.8137276097234052,1.0738898823929792,0.12572353520823046,nan,0.7412671579821501,nan,0.9442378893154683,nan,1.5914262041743006,1.1263490927521136,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
13,ko-en,ad,10,1.6376406911993393,0.5892840545084665,1.5161733289081734,1.9544986755173093,1.0420041612217086,0.37470895778051644,nan,1.4277785516465902,nan,0.9442378893154683,nan,1.5914262041743006,1.0216552472670926,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
14,ko-en,ad,10,1.6376406911993393,0.7093114004102735,1.5731090662309128,1.9544986755173093,1.3608613729344134,0.8228827184106312,nan,1.4277785516465902,nan,0.9442378893154683,nan,1.5914262041743006,1.1263490927521136,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
15,ko-en,ad,10,1.4041161982435153,0.8693478616126827,1.5161733289081734,1.9544986755173093,1.3608613729344134,0.9722739719540029,nan,1.4277785516465902,nan,0.9442378893154683,nan,1.2483790461796336,1.1263490927521136,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
16,ko-en,ad,10,-0.5224608686420323,0.029156440300033948,-0.4765774773877077,-0.3330311436336297,-0.42473901265673386,0.6236943803528024,nan,-0.3375364606333986,nan,-1.4861170212200552,nan,-0.6097930596248129,-0.12997705306813853,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
17,ko-en,ad,10,-0.46407974540307634,0.8293387463120805,0.09277989583968684,-0.8257298739122935,-1.4450820901373895,-0.37224730993634153,nan,-0.6644466480926557,nan,0.9442378893154683,nan,-0.5812057964585906,0.8471655047920575,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
18,ko-en,ad,10,-0.7559853615978563,-0.4109438280065916,-0.8751276386468839,-1.0720792390516254,-0.8073676667119797,-0.8204210705664563,nan,-0.1413903481578443,nan,-1.2970894170672924,nan,-1.067189270284369,0.07941063790190349,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
19,ko-en,ad,10,0.4408276648007415,0.8293387463120805,0.4343943197761236,1.9544986755173093,1.328975651763143,0.07592645069377327,nan,0.7739581767280759,nan,0.9442378893154683,nan,1.5914262041743006,1.0565531957620997,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
20,ko-en,ad,10,0.9078766507123894,-1.1311079034174334,0.40592645111475384,-0.6497660416699135,-0.5203961761705453,0.4245060422949737,nan,-0.10869932941191857,nan,0.9442378893154683,nan,0.5336974670240773,0.5330839683369946,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
